Date,PL Account,Amount,Description,Counterparty
1/4/2023,Professional services,741.87,,
3/4/2024,Marketing team salary,2673.8,,
1/16/2024,Direct labour - COS (deleted),-1578.98,,
5/20/2024,Uncategorised Asset,2455.15,,
6/12/2024,Repairs and Maintenance (deleted),2531.35,,
8/13/2023,Insurance - Liability (deleted),-3194.5,,
12/19/2023,Discounts given - COS (deleted),876.21,,
7/11/2023,Available for sale assets (short-term),-3738.81,,
5/12/2023,Other income,-4027.55,,
12/30/2023,Other operating income (expenses) (deleted),3680.26,,
8/28/2023,Proceeds from debt,-2752.33,,
11/5/2023,Shipping and delivery expense (deleted),-1876.77,,
8/15/2023,Subcontractors,-127.83,,
12/25/2023,Intangible assets,-466.37,,
2/28/2023,PE Tax,4735.13,,
